variant,source,e_explicit,m_explicit,f_explicit,e_could_be,m_could_be,f_could_be,e_score,m_score,f_score,e_max,m_max,f_max,d_min,d_max,zone,uncertain,question_tags,ins_number,compound_name,nutrient_class,dairy_product_subtype,milling_grade,oil_fraction,protein_fraction,sugar_form,language_tag,f_revised
bay leaf,bay laurel,NULL,leaf,taste profile / spice,drying,whole/fresh pieces|cut/sliced pieces,flavouring agent,0,0,0.18,0.42,0.1,0.675,0.072,0.426,1,True,False,,,,,,,,,,taste profile / spice
gram dal,chickpea,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False,,,,,,,,,,raw_agricultural_material
d-biotin,synthetic,NULL,crystalline chemical,NULL,NULL,NULL,NULL,0,0.98,0,0,0.98,0,0.294,0.294,1,False,False,,,vitamin_water_soluble,,,,,,,fortification_agent
thippili,thippili,NULL,NULL,taste profile / spice,drying,whole/fresh pieces|powder,flavouring agent,0,0,0.18,0.42,0.42,0.675,0.072,0.522,1,True,False,,,,,,,,,,taste profile / spice
milk fat,milk,churning,fat fraction,lipid base,clarification,NULL,flavouring agent,0.45,0.72,0.22,0.55,0.72,0.675,0.439,0.651,2,False,False,,,,,,,,,,lipid base
chillies,chilli,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False,,,,,,,,,,taste profile / spice
cinnamon,cinnamon,NULL,bark,taste profile / spice,drying,powder,flavouring agent,0,0,0.18,0.42,0.42,0.675,0.072,0.522,1,True,False,,,,,,,,,,taste profile / spice
cinnamom,cinnamon,NULL,bark,taste profile / spice,drying,powder,flavouring agent,0,0,0.18,0.42,0.42,0.675,0.072,0.522,1,True,False,,,,,,,,,,taste profile / spice
cow milk,milk,NULL,NULL,base ingredient,pasteurization,NULL,NULL,0,0,0.12,0.48,0,0.12,0.048,0.192,1,False,False,,,,,,,,,,raw_agricultural_material
cake gel,palm | soybean | sunflower,NULL,NULL,emulsifier|stabiliser,NULL,gelling agent,gelling agent,0,0,0.825,0,0,0.825,0.33,0.33,2,False,False,,,,,,,,,,emulsifier|stabiliser
glycerin,palm | soybean | rapeseed,NULL,NULL,humectant,?glycerolysis,NULL,NULL,0,0,0.425,0,0,0.425,0.17,0.17,1,False,True,,,,,,,,,,humectant
cardamom,cardamom,NULL,NULL,taste profile / spice,drying,whole/fresh pieces|powder,flavouring agent,0,0,0.18,0.42,0.42,0.675,0.072,0.522,1,True,False,,,,,,,,,,taste profile / spice
moongdal,mung bean,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False,,,,,,,,,,raw_agricultural_material
guar gum,guar,NULL,gum,thickener,NULL,powder,stabiliser,0,0,0.615,0,0.42,0.65,0.246,0.386,1,True,False,,,,,,,,,,thickener
hibiscus,hibiscus,NULL,flower,colour,drying,whole/fresh pieces|cut/sliced pieces,flavouring agent,0,0,0.8,0.42,0.1,0.8,0.32,0.476,2,False,False,,,,,,,,,,colour
inositol,corn,NULL,crystalline chemical,NULL,NULL,NULL,NULL,0,0.98,0,0,0.98,0,0.294,0.294,1,False,False,,,,,,,,,,NULL
lecithin,soybean | sunflower,solvent extraction,emulsifier powder,emulsifier,NULL,NULL,NULL,0.82,0.89,0.825,0.82,0.89,0.825,0.843,0.843,3,False,False,,,,,,,,,,emulsifier
lycopene,tomato,solvent extraction,extract/oleoresin,colour,NULL,NULL,antioxidant,0.82,0.86,0.8,0.82,0.86,0.875,0.824,0.854,3,False,False,,,,,,,,,,colour
molasses,sugarcane,NULL,concentrate,sweetener,NULL,syrup,flavouring agent,0,0.4,0.625,0,0.4,0.675,0.37,0.39,2,False,False,,,,,,,,molasses_partial,,sweetener
navsadar,synthetic,NULL,crystalline chemical,raising agent,NULL,NULL,NULL,0,0.98,0.475,0,0.98,0.475,0.484,0.484,2,False,False,,,,,,,,,,raising agent
toor dal,pigeon pea,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False,,,,,,,,,,raw_agricultural_material
potatoes,potato,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False,,,,,,,,,,raw_agricultural_material
rosemary,rosemary,NULL,leaf,taste profile / spice,drying,whole/fresh pieces|cut/sliced pieces,flavouring agent,0,0,0.18,0.42,0.1,0.675,0.072,0.426,1,True,False,,,,,,,,,,taste profile / spice
semolina,wheat,milling,coarse grits,base ingredient,NULL,NULL,NULL,0.28,0.3,0.12,0.28,0.3,0.12,0.222,0.222,1,False,False,,,,,semolina,,,,,raw_agricultural_material
sesbania,sesbania,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False,,,,,,,,,,raw_agricultural_material
ins 420i,sorbitol,corn|tapioca,NULL,crystalline chemical,NULL,hydrogenation,NULL,0,0,0,0,0,0,0,0,1,False,False,420i,sorbitol,,,,,,,,crystalline chemical
sulphite,mineral,NULL,crystalline chemical,preservative,NULL,NULL,antioxidant,0,0.98,0.885,0,0.98,0.885,0.648,0.648,2,False,False,,,,,,,,,,preservative
tamarind,tamarind,NULL,pulp/puree,flavouring agent,NULL,NULL,acidity regulator,0,0.25,0.675,0,0.25,0.86,0.345,0.419,2,False,False,,,,,,,,,,flavouring agent
tartaric,grape,NULL,crystalline chemical,acidity regulator,NULL,NULL,antioxidant,0,0.98,0.86,0,0.98,0.875,0.638,0.644,2,False,False,,,,,,,,,,acidity regulator
tomatoes,tomato,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces|pulp/puree,NULL,0,0.05,0.12,0,0.25,0.12,0.063,0.123,1,False,False,,,,,,,,,,raw_agricultural_material
vanillin,synthetic,synthetic vanillin,crystalline chemical,flavouring agent,NULL,NULL,taste profile / spice,0.98,0.98,0.675,0.98,0.98,0.675,0.858,0.858,3,False,False,,,,,,,,,,flavouring agent
ro water,water,NULL,juice,base ingredient,NULL,NULL,NULL,0,0.5,0.12,0,0.5,0.12,0.198,0.198,1,False,False,,,,,,,,,,raw_agricultural_material
arginine,sugarcane,fermentation,crystalline chemical,NULL,NULL,NULL,NULL,0.56,0.98,0,0.56,0.98,0,0.462,0.462,2,False,False,,,amino_acid,,,,,,,fortification_agent
betelnut,areca palm,NULL,nut,taste profile / spice,drying,whole/fresh pieces|cut/sliced pieces,flavouring agent,0,0,0.18,0.42,0.1,0.675,0.072,0.426,1,True,False,,,,,,,,,,taste profile / spice
cherries,cherry,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,sweetener,0,0.05,0.12,0,0.1,0.625,0.063,0.28,1,False,False,,,,,,,,,,raw_agricultural_material
chloride,mineral,NULL,crystalline chemical,NULL,NULL,NULL,NULL,0,0.98,0,0,0.98,0,0.294,0.294,1,False,False,,,,,,,,,,NULL
digezyme,aspergillus oryzae,fermentation,powder,NULL,NULL,NULL,NULL,0.56,0.42,0,0.56,0.42,0,0.294,0.294,1,False,False,,,,,,,,,,NULL
protease,aspergillus oryzae | bacillus subtilis,fermentation,powder,flour treatment agent,NULL,NULL,NULL,0.56,0.42,0.93,0.56,0.42,0.93,0.666,0.666,2,False,False,,,,,,,,,,flour treatment agent
fox nuts,fox nut,NULL,NULL,base ingredient,NULL,whole/fresh pieces,NULL,0,0,0.12,0,0.05,0.12,0.048,0.063,1,False,False,,,,,,,,,,raw_agricultural_material
gum base,chicle,NULL,gum,base ingredient,NULL,dense block,NULL,0,0,0.12,0,0.38,0.12,0.048,0.162,1,False,False,,,,,,,,,,raw_agricultural_material
haritaki,haritaki,NULL,fruit,taste profile / spice,drying,whole/fresh pieces|powder,flavouring agent,0,0,0.18,0.42,0.42,0.675,0.072,0.522,1,True,False,,,,,,,,,,taste profile / spice
jalapeno,jalapeno,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False,,,,,,,,,,taste profile / spice
khorasan,khorasan wheat,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material
l-lysine,sugarcane,fermentation,crystalline chemical,NULL,NULL,NULL,NULL,0.56,0.98,0,0.56,0.98,0,0.462,0.462,2,False,False,,,amino_acid,,,,,,,fortification_agent
mulberry,mulberry,NULL,whole/fresh pieces,base ingredient,NULL,pulp/puree,sweetener,0,0.05,0.12,0,0.25,0.625,0.063,0.325,1,True,False,,,,,,,,,,raw_agricultural_material
nitrogen,synthetic,NULL,NULL,propellant,NULL,NULL,packaging gas,0,0,0.95,0,0,0.95,0.38,0.38,2,False,False,,,,,,,,,,propellant
vallarai,brahmi,NULL,leaf,taste profile / spice,drying,whole/fresh pieces|cut/sliced pieces,flavouring agent,0,0,0.18,0.42,0.1,0.675,0.072,0.426,1,True,False,,,,,,,,,,taste profile / spice
xylanase,aspergillus niger,fermentation,powder,flour treatment agent,NULL,NULL,NULL,0.56,0.42,0.93,0.56,0.42,0.93,0.666,0.666,2,False,False,,,,,,,,,,flour treatment agent
palmolein,palm,fractionation,oil,lipid base,refining,NULL,NULL,0.76,0.7,0.22,0.76,0.7,0.22,0.526,0.526,2,False,False,,,,,,palmolein,,,,lipid base
palmolien,palm,fractionation,oil,lipid base,refining,NULL,NULL,0.76,0.7,0.22,0.76,0.7,0.22,0.526,0.526,2,False,False,,,,,,,,,,lipid base
vanaspati,palm | soybean | groundnut,hydrogenation|interesterification,fat fraction,lipid base,refining,NULL,NULL,0.92,0.72,0.22,0.92,0.72,0.22,0.58,0.58,2,False,False,,,,,,hydrogenated,,,,lipid base
kalanamak,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,taste profile / spice,0,0.98,0.12,0,0.98,0.18,0.342,0.366,2,False,False,,,,,,,,,hi,raw_agricultural_material
rock salt,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,taste profile / spice,0,0.98,0.12,0,0.98,0.18,0.342,0.366,2,False,False,,,,,,,,,,raw_agricultural_material
cornflour,corn,milling,starch flour,base ingredient,NULL,flour/fine powder,thickener,0.28,0.6,0.12,0.28,0.6,0.615,0.312,0.51,2,False,False,,,,,,,,,,processed_ingredient
hazelnuts,hazelnut,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False,,,,,,,,,,raw_agricultural_material
magnesium,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False,,,mineral_nutrient,,,,,,,raw_agricultural_material
dry mango,mango,drying,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,sweetener,0.42,0.05,0.12,0.42,0.1,0.625,0.189,0.406,1,True,False,,,,,,,,,,raw_agricultural_material
raw mango,mango,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,acidity regulator,0,0.05,0.12,0,0.1,0.86,0.063,0.374,1,True,False,,,,,,,,,,raw_agricultural_material
mint oils,mint,solvent extraction,essential oil,flavouring agent,NULL,extract/oleoresin,taste profile / spice,0.82,0.9,0.675,0.82,0.9,0.675,0.786,0.786,3,False,False,,,,,,,,,,flavouring agent
pistachio,pistachio,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False,,,,,,,,,,raw_agricultural_material
soya grit,soybean,milling,coarse grits,base ingredient,NULL,NULL,NULL,0.28,0.3,0.12,0.28,0.3,0.12,0.222,0.222,1,False,False,,,,,,,,,,raw_agricultural_material
soyabeans,soybean,NULL,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0,0.05,0.12,0,0.05,0.12,0.063,0.063,1,False,False,,,,,,,,,,raw_agricultural_material
soya four,soybean,milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False,,,,,,,,,,raw_agricultural_material
khandsari,sugarcane,NULL,crystalline chemical,sweetener,refining,NULL,base ingredient,0,0.98,0.625,0.75,0.98,0.625,0.544,0.769,2,True,False,,,,,,,,molasses_partial,hi,sweetener
sugarcane,sugarcane,NULL,whole/fresh pieces,base ingredient,NULL,juice,sweetener,0,0.05,0.12,0,0.5,0.625,0.063,0.4,1,True,False,,,,,,,,refined_sucrose,,raw_agricultural_material
d-glucose,corn | tapioca,NULL,crystalline chemical,sweetener,?hydrolysis,NULL,NULL,0,0.98,0.625,0.6,0.98,0.625,0.544,0.724,2,True,True,,,,,,,,,,sweetener
urid dhal,urad dal,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False,,,,,,,,,,raw_agricultural_material
orid dhal,urad dal,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False,,,,,,,,,,raw_agricultural_material
vitamin a,synthetic | fish liver oil,NULL,oil,NULL,NULL,crystalline chemical,NULL,0,0.7,0,0,0.98,0,0.21,0.294,1,False,False,,,vitamin_fat_soluble,,,,,,,fortification_agent
flax seed,flax,NULL,whole/fresh pieces,base ingredient,NULL,oil,NULL,0,0.05,0.12,0,0.7,0.12,0.063,0.258,1,False,False,,,,,,,,,,raw_agricultural_material
oat flour,oat,milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False,,,,,,,,,,raw_agricultural_material
asafetida,asafoetida,NULL,extract/oleoresin,taste profile / spice,?compounding,NULL,flavouring agent,0,0.86,0.18,0.35,0.86,0.675,0.33,0.633,2,False,True,,,,,,,,,,taste profile / spice
fenugreek,fenugreek,NULL,whole/fresh pieces,taste profile / spice,NULL,powder,flavouring agent,0,0.05,0.18,0,0.42,0.675,0.087,0.396,1,True,False,,,,,,,,,,taste profile / spice
coriander,coriander,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0,0.42,0.675,0.087,0.396,1,True,False,,,,,,,,,,taste profile / spice
green pea,pea,NULL,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0,0.05,0.12,0,0.05,0.12,0.063,0.063,1,False,False,,,,,,,,,,raw_agricultural_material
skim milk,milk,skim/defatted meal,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False,,,,,,,,,,raw_agricultural_material
algal oil,algae,solvent extraction,oil,lipid base,NULL,NULL,NULL,0.82,0.7,0.22,0.82,0.7,0.22,0.544,0.544,2,False,False,,,,,,,,,,lipid base
aspartame,synthetic,NULL,crystalline chemical,sweetener,NULL,powder,NULL,0,0.98,0.625,0,0.98,0.625,0.544,0.544,2,False,False,,,,,,,,,,sweetener
bael pulp,bael,NULL,pulp/puree,base ingredient,NULL,NULL,NULL,0,0.25,0.12,0,0.25,0.12,0.123,0.123,1,False,False,,,,,,,,,,raw_agricultural_material
bayleaves,bay laurel,drying,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces|powder,flavouring agent,0.42,0.05,0.18,0.42,0.42,0.675,0.213,0.522,1,True,False,,,,,,,,,,taste profile / spice
chana dal,chickpea,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False,,,,,,,,,,raw_agricultural_material
gram dhal,chickpea,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False,,,,,,,,,,raw_agricultural_material
gram meal,chickpea,milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False,,,,,,,,,,raw_agricultural_material
bhringraj,bhringraj,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0,0.42,0.675,0.087,0.396,1,True,False,,,,,,,,,,taste profile / spice
black tea,tea,fermentation,NULL,flavouring agent,drying,powder,taste profile / spice,0.56,0,0.675,0.56,0.42,0.675,0.438,0.564,2,False,False,,,,,,,,,,flavouring agent
butterfat,milk,churning|clarification,fat fraction,lipid base,NULL,NULL,flavouring agent,0.55,0.72,0.22,0.55,0.72,0.675,0.469,0.651,2,False,False,,,,,,,,,,lipid base
chickpeas,chickpea,NULL,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0,0.05,0.12,0,0.05,0.12,0.063,0.063,1,False,False,,,,,,,,,,raw_agricultural_material
red chili,chilli,drying,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces|powder,flavouring agent,0.42,0.05,0.18,0.42,0.42,0.675,0.213,0.522,1,True,False,,,,,,,,,,taste profile / spice
clove bud,clove,drying,whole/fresh pieces,taste profile / spice,NULL,powder,flavouring agent,0.42,0.05,0.18,0.42,0.42,0.675,0.213,0.522,1,True,False,,,,,,,,,,taste profile / spice
cranberry,cranberry,NULL,whole/fresh pieces,base ingredient,NULL,juice,acidity regulator,0,0.05,0.12,0,0.5,0.86,0.063,0.494,1,True,False,,,,,,,,,,raw_agricultural_material
vegan dha,algae,solvent extraction,oil,lipid base,NULL,NULL,NULL,0.82,0.7,0.22,0.82,0.7,0.22,0.544,0.544,2,False,False,,,,,,,,,,lipid base
egg white,egg,NULL,protein concentrate,base ingredient,NULL,NULL,foaming agent,0,0.74,0.12,0,0.74,0.725,0.27,0.512,1,True,False,,,,,,,egg_white_protein,,,processed_ingredient
desi ghee,milk,churning|clarification,fat fraction,lipid base,NULL,NULL,flavouring agent,0.55,0.72,0.22,0.55,0.72,0.675,0.469,0.651,2,False,False,,,,,,,,,,lipid base
glycerine,palm | soybean | rapeseed,?hydrolysis,NULL,humectant,NULL,NULL,NULL,0.6,0,0.425,0.6,0,0.425,0.35,0.35,2,False,True,,,,,,,,,,humectant
red grape,grape,NULL,whole/fresh pieces,base ingredient,NULL,juice,sweetener,0,0.05,0.12,0,0.5,0.625,0.063,0.4,1,True,False,,,,,,,,,,raw_agricultural_material
moong dal,mung bean,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False,,,,,,,,,,raw_agricultural_material
green tea,tea,NULL,NULL,flavouring agent,drying,powder,taste profile / spice,0,0,0.675,0.42,0.42,0.675,0.27,0.522,1,True,False,,,,,,,,,,flavouring agent
ice cream,milk,pasteurization,dense block,base ingredient,chilling,NULL,foaming agent,0.48,0.38,0.12,0.48,0.38,0.725,0.306,0.548,2,False,False,,,,frozen_dessert,,,,,,processed_ingredient
dew beans,moth bean,NULL,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0,0.05,0.12,0,0.05,0.12,0.063,0.063,1,False,False,,,,,,,,,,raw_agricultural_material
naushadar,synthetic,NULL,crystalline chemical,raising agent,NULL,NULL,NULL,0,0.98,0.475,0,0.98,0.475,0.484,0.484,2,False,False,,,,,,,,,,raising agent
tree nuts,almond | cashew | walnut | pistachio,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False,,,,,,,,,,raw_agricultural_material
olive oil,olive,cold pressing|solvent extraction,oil,lipid base,refining,NULL,NULL,0.82,0.7,0.22,0.82,0.7,0.22,0.544,0.544,2,False,False,,,,,,,,,,lipid base
toor dhal,pigeon pea,NULL,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False,,,,,,,,,,raw_agricultural_material
pineapple,pineapple,NULL,whole/fresh pieces,base ingredient,NULL,juice,sweetener,0,0.05,0.12,0,0.5,0.625,0.063,0.4,1,True,False,,,,,,,,,,raw_agricultural_material
plum pulp,plum,NULL,pulp/puree,base ingredient,NULL,NULL,sweetener,0,0.25,0.12,0,0.25,0.625,0.123,0.325,1,True,False,,,,,,,,,,raw_agricultural_material
potassium,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False,,,,,,,,,,raw_agricultural_material
rice meal,rice,milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False,,,,,,,,,,raw_agricultural_material
rice rava,rice,milling,coarse grits,base ingredient,NULL,NULL,NULL,0.28,0.3,0.12,0.28,0.3,0.12,0.222,0.222,1,False,False,,,,,semolina,,,,,raw_agricultural_material
rice flex,rice,NULL,flakes,base ingredient,NULL,NULL,NULL,0,0.36,0.12,0,0.36,0.12,0.156,0.156,1,False,False,,,,,,,,,,raw_agricultural_material
idli rava,rice,milling,coarse grits,base ingredient,NULL,NULL,NULL,0.28,0.3,0.12,0.28,0.3,0.12,0.222,0.222,1,False,False,,,,,semolina,,,,,raw_agricultural_material
staranise,star anise,drying,whole/fresh pieces,taste profile / spice,NULL,powder,flavouring agent,0.42,0.05,0.18,0.42,0.42,0.675,0.213,0.522,1,True,False,,,,,,,,,,taste profile / spice
sucralose,synthetic,NULL,crystalline chemical,sweetener,NULL,powder,NULL,0,0.98,0.625,0,0.98,0.625,0.544,0.544,2,False,False,,,,,,,,,,sweetener
sulphites,mineral,NULL,crystalline chemical,preservative,NULL,NULL,antioxidant,0,0.98,0.885,0,0.98,0.885,0.648,0.648,2,False,False,,,,,,,,,,preservative
vitamin d,lanolin | fish liver oil | synthetic,NULL,oil,NULL,NULL,crystalline chemical,NULL,0,0.7,0,0,0.98,0,0.21,0.294,1,False,False,,,vitamin_fat_soluble,,,,,,,fortification_agent
dried fig,fig,drying,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,sweetener,0.42,0.05,0.12,0.42,0.1,0.625,0.189,0.406,1,True,False,,,,,,,,,,raw_agricultural_material
ash gourd,ash gourd,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False,,,,,,,,,,raw_agricultural_material
bibhitaki,bibhitaki,NULL,NULL,base ingredient,NULL,whole/fresh pieces,NULL,0,0,0.12,0,0.05,0.12,0.048,0.063,1,False,False,,,,,,,,,,raw_agricultural_material
buckwheat,buckwheat,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False,,,,,,,,,,raw_agricultural_material
catechins,tea,NULL,extract/oleoresin,antioxidant,NULL,powder,NULL,0,0.86,0.875,0,0.86,0.875,0.608,0.608,2,False,False,,,,,,,,,,antioxidant
chlorella,chlorella,NULL,powder,base ingredient,NULL,NULL,NULL,0,0.42,0.12,0,0.42,0.12,0.174,0.174,1,False,False,,,,,,,,,,processed_ingredient
dry fruit,grape | date | fig | almond | cashew | pistachio,drying,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,sweetener,0.42,0.05,0.12,0.42,0.1,0.625,0.189,0.406,1,True,False,,,,,,,,,,raw_agricultural_material
proteases,aspergillus oryzae | bacillus subtilis,fermentation,NULL,base ingredient,?hydrolysis,powder,NULL,0.56,0,0.12,0.6,0.42,0.12,0.216,0.354,1,True,True,,,,,,,,,,fermentation_agent
glutamine,sugarcane,fermentation,crystalline chemical,base ingredient,NULL,NULL,NULL,0.56,0.98,0.12,0.56,0.98,0.12,0.51,0.51,2,False,False,,,amino_acid,,,,,,,fortification_agent
goat meat,goat,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False,,,,,,,,,,raw_agricultural_material
horsegram,horsegram,NULL,NULL,base ingredient,NULL,whole/fresh pieces,NULL,0,0,0.12,0,0.05,0.12,0.048,0.063,1,False,False,,,,,,,,,,raw_agricultural_material
idli rava,rice,milling,coarse grits,base ingredient,NULL,NULL,NULL,0.28,0.3,0.12,0.28,0.3,0.12,0.222,0.222,1,False,False,,,,,semolina,,,,,raw_agricultural_material
jackfruit,jackfruit,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False,,,,,,,,,,raw_agricultural_material
jalapenos,jalapeno,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces|powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False,,,,,,,,,,taste profile / spice
margarine,palm | soybean | sunflower,interesterification|hydrogenation,fat fraction,lipid base,NULL,NULL,emulsifier,0.92,0.72,0.22,0.92,0.72,0.825,0.58,0.822,2,True,False,,,,,,,,,,lipid base
spirulina,spirulina,NULL,powder,base ingredient,NULL,NULL,NULL,0,0.42,0.12,0,0.42,0.12,0.174,0.174,1,False,False,,,,,,,,,,processed_ingredient
threonine,synthetic,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False,,,amino_acid,,,,,,,fortification_agent
palm olein,palm,fractionation,oil,lipid base,cold pressing|solvent extraction|refining,NULL,NULL,0.76,0.7,0.22,0.82,0.7,0.22,0.526,0.544,2,False,False,,,,,,palmolein,,,,lipid base
edible oil,palm | soybean | sunflower | groundnut,NULL,oil,lipid base,cold pressing|refining|solvent extraction,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False,,,,,,,,,,lipid base
black salt,mineral,NULL,crystalline chemical,taste profile / spice,NULL,NULL,flavouring agent,0,0.98,0.18,0,0.98,0.675,0.366,0.564,2,False,False,,,,,,,,,,taste profile / spice
cashew nut,cashew,NULL,whole/fresh pieces,base ingredient,roasting,NULL,NULL,0,0.05,0.12,0.58,0.05,0.12,0.063,0.237,1,False,False,,,,,,,,,,raw_agricultural_material
riboflavin,synthetic | corn,fermentation,crystalline chemical,base ingredient,NULL,NULL,NULL,0.56,0.98,0.12,0.56,0.98,0.12,0.51,0.51,2,False,False,,,vitamin_water_soluble,,,,,,,fortification_agent
vitamin b2,synthetic | corn,fermentation,crystalline chemical,base ingredient,NULL,NULL,NULL,0.56,0.98,0.12,0.56,0.98,0.12,0.51,0.51,2,False,False,,,vitamin_water_soluble,,,,,,,fortification_agent
milk cream,milk,churning,fat fraction,lipid base,NULL,NULL,NULL,0.45,0.72,0.22,0.45,0.72,0.22,0.439,0.439,2,False,False,,,,,,,,,,lipid base
sour cream,milk,fermentation,dense block,base ingredient,churning,NULL,NULL,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False,,,,fermented_cream,,,,,,processed_ingredient
date paste,date,pulp/puree,pulp/puree,sweetener,NULL,NULL,base ingredient,0,0.25,0.625,0,0.25,0.625,0.325,0.325,2,False,False,,,,,,,,,,sweetener
date syrup,date,NULL,juice,sweetener,NULL,concentrate,base ingredient,0,0.5,0.625,0,0.5,0.625,0.4,0.4,2,False,False,,,,,,,,,,sweetener
folic acid,synthetic,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False,,,vitamin_water_soluble,,,,,,,fortification_agent
dry ginger,ginger,drying,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces|powder,flavouring agent,0.42,0.05,0.18,0.42,0.42,0.675,0.213,0.522,1,True,False,,,,,,,,,,taste profile / spice
corn syrup,corn,?hydrolysis,juice,sweetener,NULL,concentrate,bulking agent,0.6,0.5,0.625,0.6,0.5,0.625,0.58,0.58,2,False,True,,,,,,,,,,sweetener
